index,Prediction,Setback,Test
1,0.651111111,24TrC,Tr
2,0.645333333,24TrC,Tr
3,0.644444444,24TrC,Tr
4,0.648444444,24TrC,Tr
5,0.647111111,24TrC,Tr
6,0.643111111,24TrC,Tr
7,0.642222222,24TrC,Tr
8,0.631555556,24TrC,Tr
9,0.648444444,24TrC,Tr
10,0.639555556,24TrC,Tr
1,0.667555556,12Trc,Tr
2,0.687555556,12Trc,Tr
3,0.688,12Trc,Tr
4,0.660444444,12Trc,Tr
5,0.675111111,12Trc,Tr
6,0.674222222,12Trc,Tr
7,0.670666667,12Trc,Tr
8,0.656888889,12Trc,Tr
9,0.682666667,12Trc,Tr
10,0.675555556,6TrC,Tr
1,0.696,6TrC,Tr
2,0.710222222,6TrC,Tr
3,0.702222222,6TrC,Tr
4,0.683111111,6TrC,Tr
5,0.697777778,6TrC,Tr
6,0.689333333,6TrC,Tr
7,0.691555556,6TrC,Tr
8,0.692444444,6TrC,Tr
9,0.714222222,6TrC,Tr
10,0.700444444,6TrC,Tr
1,0.726666667,3TrC,Tr
2,0.716888889,3TrC,Tr
3,0.709333333,3TrC,Tr
4,0.708444444,3TrC,Tr
5,0.716,3TrC,Tr
6,0.697777778,3TrC,Tr
7,0.695555556,3TrC,Tr
8,0.706666667,3TrC,Tr
9,0.724,3TrC,Tr
10,0.713333333,3TrC,Tr
1,0.727111111,1TrC,Tr
2,0.731555556,1TrC,Tr
3,0.724888889,1TrC,Tr
4,0.716,1TrC,Tr
5,0.734222222,1TrC,Tr
6,0.705333333,1TrC,Tr
7,0.719555556,1TrC,Tr
8,0.722222222,1TrC,Tr
9,0.740444444,1TrC,Tr
10,0.719111111,1TrC,Tr
1,0.536,24TeC,Te
2,0.518666667,24TeC,Te
3,0.524,24TeC,Te
4,0.541333333,24TeC,Te
5,0.525333333,24TeC,Te
6,0.558666667,24TeC,Te
7,0.528,24TeC,Te
8,0.564,24TeC,Te
9,0.514666667,24TeC,Te
10,0.574666667,24TeC,Te
1,0.568,12TeC,Te
2,0.582666667,12TeC,Te
3,0.569333333,12TeC,Te
4,0.564,12TeC,Te
5,0.561333333,12TeC,Te
6,0.581333333,12TeC,Te
7,0.590666667,12TeC,Te
8,0.588,12TeC,Te
9,0.541333333,12TeC,Te
10,0.6,6TeC,Te
1,0.596,6TeC,Te
2,0.605333333,6TeC,Te
3,0.596,6TeC,Te
4,0.58,6TeC,Te
5,0.601333333,6TeC,Te
6,0.586666667,6TeC,Te
7,0.625333333,6TeC,Te
8,0.594666667,6TeC,Te
9,0.565333333,6TeC,Te
10,0.606666667,6TeC,Te
1,0.598666667,3TeC,Te
2,0.633333333,3TeC,Te
3,0.626666667,3TeC,Te
4,0.614666667,3TeC,Te
5,0.618666667,3TeC,Te
6,0.612,3TeC,Te
7,0.634666667,3TeC,Te
8,0.638666667,3TeC,Te
9,0.602666667,3TeC,Te
10,0.649333333,3TeC,Te
1,0.624,1TeC,Te
2,0.649333333,1TeC,Te
3,0.64,1TeC,Te
4,0.641333333,1TeC,Te
5,0.648,1TeC,Te
6,0.664,1TeC,Te
7,0.664,1TeC,Te
8,0.674666667,1TeC,Te
9,0.612,1TeC,Te
10,0.670666667,1TeC,Te
